,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime
694,"Well, not really.",Ross,neutral,118,0,49,0,6,18,"00:12:56,692","00:12:57,859"
695,"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",Ross,neutral,118,1,49,1,6,18,"00:12:58,027","00:13:02,197"
696,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,118,2,49,2,6,18,"00:13:02,364","00:13:06,951"
697,Going out with who?,Ross,neutral,118,3,49,16,6,18,"0:13:47,328","0:13:47,537"
698,"Uh, Dana Keystone from college.",Chandler,neutral,118,4,49,17,6,18,"00:13:49,328","00:13:52,413"
699,Oh yeah! Wasn’t she uh,Ross,surprise,118,5,49,18,6,18,"00:13:52,581","00:13:55,708"
700,"No, that was Dana Caplin.",Chandler,neutral,118,6,49,19,6,18,"00:13:56,919","00:13:58,461"
701,"Morning! Hey, how’s my favorite genius and my little robot buddy?!",Joey,joy,119,0,50,0,6,21,"00:14:11,308","00:14:15,436"
702,Don’t touch him!,Wayne,anger,119,1,50,1,6,21,"0:14:15,604","0:14:18,816"
703,Okay!,Joey,surprise,119,2,50,2,6,21,"0:14:18,816","0:14:19,128"
704,All right.,Joey,neutral,119,3,50,3,6,21,"0:14:19,128","0:14:19,414"
705,"Umm, all right Wayne, level with me.",Joey,neutral,119,4,50,4,6,21,"00:14:19,859","00:14:24,279"
706,I-I keep hearing all these rumors that I might get fired.,Joey,fear,119,5,50,5,6,21,"00:14:19,859","00:14:24,279"
707,"Okay, they even have actors coming in to read for my part!",Joey,fear,119,6,50,6,6,21,"00:14:24,446","00:14:27,657"
708,"Come on man, you-you got to give me a second chance!",Joey,sadness,119,7,50,7,6,21,"00:14:27,825","00:14:30,326"
709,"I mean, I love-I love this little guy!",Joey,joy,119,8,50,8,6,21,"0:14:30,494","0:14:31,956"
710,Ah-ah!!,Joey,surprise,119,9,50,9,6,21,"0:14:31,956","0:14:33,140"
711,"Okay, that’s why you didn’t want me to touch him right?",Joey,surprise,119,10,50,10,6,21,"0:14:33,706","0:14:36,292"
712,Here you go!,Joey,neutral,119,11,50,11,6,21,"0:14:36,292","0:14:36,714"
713,Okay?,Joey,neutral,119,12,50,12,6,21,"0:14:36,714","0:14:37,872"
714,Stupid!,Joey,anger,119,13,50,13,6,21,"0:14:39,795","0:14:41,881"
715,I can’t believe it!,Joey,surprise,119,14,50,14,6,21,"0:14:41,881","0:14:42,215"
716,God!,Joey,anger,119,15,50,15,6,21,"0:14:42,215","0:14:42,929"
717,"Hey, how you doin’?",Joey,neutral,119,16,50,16,6,21,"00:14:44,550","00:14:47,010"
718,Hey.,Ross,neutral,120,0,51,0,3,15,"00:11:10,086","00:11:12,629"
719,"Hi. Look um, about what happened earlier...",Rachel,sadness,120,1,51,1,3,15,"00:11:10,086","00:11:14,839"
720,"No, hey, well, I-I completely understand. You were, you were stressed.",Ross,neutral,120,2,51,2,3,15,"00:11:15,007","00:11:18,927"
721,I was gonna give you a chance to apologise to me.,Rachel,disgust,120,3,51,3,3,15,"00:11:22,431","00:11:25,433"
722,For what? For letting you throw me out of your office?,Ross,anger,120,4,51,4,3,15,"00:11:26,018","00:11:28,645"
723,You had no,Rachel,anger,120,5,51,5,3,15,"00:11:28,938","00:11:31,981"
724,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",Ross,anger,120,6,51,6,3,15,"00:11:40,616","00:11:45,745"
725,"But I told you, I didn’t have the time!",Rachel,anger,120,7,51,7,3,15,"00:11:47,206","00:11:49,958"
726,"Yeah, well you never have the time. I mean, I don’t feel like I even have a girlfriend anymore, Rachel.",Ross,anger,120,8,51,8,3,15,"00:11:50,126","00:11:54,587"
727,"Wh, Ross what do you want from me?",Rachel,anger,120,9,51,9,3,15,"00:11:54,755","00:11:56,423"
728,"You want me, you want me to quit my job so you can feel like you have a girlfriend?",Rachel,anger,120,10,51,10,3,15,"00:11:56,590","00:11:59,467"
729,I know.,Monica,neutral,121,0,52,0,3,21,"00:12:55,000","00:12:56,232"
730,"Ooh, I have to tell you something.",Phoebe,joy,121,1,52,1,3,21,"00:12:56,400","00:12:57,942"
731,What?,Monica,neutral,121,2,52,2,3,21,"0:12:58,360","0:12:58,992"
732,But I can’t tell you.,Phoebe,neutral,121,3,52,3,3,21,"0:12:58,992","0:13:00,878"
733,"Okay, but wouldn’t it be easier if you had to tell me something that you could tell me.",Monica,neutral,121,4,52,4,3,21,"00:13:02,490","00:13:13,917"
734,"Well, sure in a perfect world. But, no, I promised I wouldn’t tell, and I swore to like all my gods.",Phoebe,neutral,121,5,52,5,3,21,"00:13:06,202","00:13:13,917"
735,Okay. Does it have to do with Ross and Rachel?,Monica,neutral,121,6,52,6,3,21,"00:13:15,544","00:13:18,922"
736,No.,Phoebe,neutral,121,7,52,7,3,21,"00:13:19,089","00:13:20,256"
737,Does it have to do with Joey?,Monica,neutral,121,8,52,8,3,21,"0:13:20,424","0:13:21,676"
741,Hi!,Richard,joy,122,0,53,0,6,24,"00:20:42,741","00:20:45,159"
742,Richard!,Monica,joy,122,1,53,1,6,24,"00:20:45,911","00:20:47,161"
747,"Well, it was great seeing you the other night.",Richard,joy,122,6,53,6,6,24,"00:20:58,674","00:21:01,384"
749,No! I came here to tell you something else.  I came here  to tell you I still love you.,Richard,joy,122,8,53,8,6,24,"00:21:06,932","00:21:15,481"
750,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,123,0,54,0,8,10,"00:19:18,574","00:19:27,123"
751,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,123,1,54,1,8,10,"00:19:27,291","00:19:29,876"
752,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!",Joey,anger,123,2,54,2,8,10,"00:19:30,043","00:19:40,803"
754,Come here!,Joey,joy,123,4,54,22,8,10,"0:21:03,179","0:21:04,950"
755,No! Seriously! What’s wrong with you?!,Rachel,anger,123,5,54,23,8,10,"00:21:12,396","00:21:15,106"
756,"Maybe!  Well! Well…so-so uh, what kind of music does Numb Nuts—Oh forget it! I can’t!",Joey,anger,124,0,54,2,8,10,"00:19:30,043","00:19:40,803"
757,"Joey, I am scared to death about this.",Dina,fear,124,1,54,3,8,10,"00:19:40,971","00:19:43,764"
758,"But I really think I can do it, I’m just gonna need some help.",Dina,fear,124,2,54,4,8,10,"00:19:43,932","00:19:46,642"
760,"Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?",Dina,anger,124,4,54,7,8,10,"00:19:59,698","00:20:07,445"
761,Because! ‘Cause… ‘Cause you’re my baby sister!,Joey,sadness,124,5,54,8,8,10,"00:20:07,623","00:20:09,582"
762,And you’re my big brother!,Dina,joy,124,6,54,9,8,10,"00:20:09,750","00:20:11,250"
765,I was scared of telling you.,Dina,fear,124,9,54,12,8,10,"0:20:17,174","0:20:20,476"
766,"Well I’d be scared of them, but all right.",Joey,fear,124,10,54,13,8,10,"00:20:21,261","00:20:24,138"
767,"Joey, I can’t stand the thought of having this baby with you mad at me.",Dina,sadness,124,11,54,14,8,10,"00:20:24,306","00:20:28,809"
768,I want him to have his uncle.,Dina,sadness,124,12,54,15,8,10,"00:20:28,977","00:20:31,938"
769,Is my baby gonna have his Uncle Joey?,Dina,sadness,124,13,54,16,8,10,"00:20:32,105","00:20:34,523"
770,Of course he’s gonna have his Uncle Joey!,Joey,joy,124,14,54,17,8,10,"00:20:36,860","00:20:40,655"
771,"We’re gonna be all right. I mean, even if we’re not married this baby is gonna be so loved. Not just by us.",Dina,joy,124,15,54,18,8,10,"00:20:41,281","00:20:56,712"
772,That’s right! By his uncle too!,Joey,joy,124,16,54,19,8,10,"0:20:51,083","0:20:52,460"
773,"Joey, I am scared to death about this.",Dina,fear,125,0,54,3,8,10,"00:19:40,971","00:19:43,764"
774,"But I really think I can do it, I’m just gonna need some help.",Dina,fear,125,1,54,4,8,10,"00:19:43,932","00:19:46,642"
776,"You bet I am!  And to answer your earlier question, we’re straight-up gangster rap.",Bobby,joy,125,3,54,6,8,10,"00:19:50,939","00:19:55,943"
777,"Look, Rachel’s told me how much easier you’ve made all this on her. Why can’t you do that for me?",Dina,anger,125,4,54,7,8,10,"00:19:59,698","00:20:07,445"
778,And you’re my big brother!,Dina,joy,125,5,54,9,8,10,"00:20:09,750","00:20:11,250"
781,I was scared of telling you.,Dina,fear,125,8,54,12,8,10,"0:20:17,174","0:20:20,476"
782,"Joey, I can’t stand the thought of having this baby with you mad at me.",Dina,sadness,125,9,54,14,8,10,"00:20:24,306","00:20:28,809"
783,I want him to have his uncle.,Dina,sadness,125,10,54,15,8,10,"00:20:28,977","00:20:31,938"
784,Is my baby gonna have his Uncle Joey?,Dina,sadness,125,11,54,16,8,10,"00:20:32,105","00:20:34,523"
785,That’s right! By his uncle too!,Joey,joy,126,0,54,19,8,10,"0:20:51,083","0:20:52,460"
786,And by you.,Bobby,joy,126,1,54,20,8,10,"0:20:52,460","0:20:56,763"
787,And by you.,Bobby,joy,127,0,54,20,8,10,"0:20:52,460","0:20:56,763"
789,I had a really nice time tonight.,Danny,joy,128,0,55,0,5,10,"00:10:50,608","00:10:53,443"
790,So did I. I'm really glad Monica asked us out.,Rachel,joy,128,1,55,1,5,10,"00:10:53,611","00:10:56,738"
792,You're sister? You're sister's asleep on the couch?  Ohhh! I saw,Rachel,surprise,128,3,55,3,5,10,"00:11:12,129","00:11:20,720"
794,Hi!,Rachel,joy,128,5,55,5,5,10,"00:11:26,727","00:11:28,061"
795,You are so dead! I'm gonna get you.,Danny,joy,128,6,55,15,5,10,"00:11:38,406","00:11:39,989"
797,Hi!,Rachel,joy,129,0,55,5,5,10,"00:11:26,727","00:11:28,061"
798,"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!",Krista,surprise,129,1,55,6,5,10,"00:11:26,727","00:11:34,275"
799,"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up!",Krista,surprise,130,0,55,6,5,10,"00:11:26,727","00:11:34,275"
801,You are so bad!,Krista,joy,130,2,55,8,5,10,"0:11:32,441","0:11:34,331"
802,You are!,Danny,joy,130,3,55,9,5,10,"0:11:34,443","0:11:35,194"
803,You are!,Krista,joy,130,4,55,10,5,10,"0:11:35,194","0:11:35,754"
804,You are!,Danny,joy,130,5,55,11,5,10,"0:11:35,861","0:11:36,373"
805,You are!,Krista,joy,130,6,55,12,5,10,"0:11:36,373","0:11:37,005"
806,You are!,Danny,joy,130,7,55,13,5,10,"0:11:37,005","0:11:37,527"
807,You are!,Krista,joy,130,8,55,14,5,10,"0:11:37,527","0:11:38,371"
808,You are so dead! I'm gonna get you.,Danny,joy,130,9,55,15,5,10,"00:11:38,406","00:11:39,989"
809,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",Chandler,surprise,131,0,56,0,1,7,"00:02:19,472","00:02:24,643"
811,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!",Chandler,surprise,131,2,56,2,1,7,"00:02:24,894","00:02:33,527"
815,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was",Chandler,joy,131,6,56,6,1,7,"00:02:57,969","00:03:08,103"
818,That sounds great!,Phoebe,surprise,132,2,58,2,4,13,"0:02:39,243","0:02:41,941"
819,That sounds great!,Phoebe,surprise,133,0,58,2,4,13,"0:02:39,243","0:02:41,941"
822,"Umm, excuse me, we switched apartments. You can’t eat are food anymore, that-that gravy train had ended.",Monica,anger,134,1,58,4,4,13,"00:02:45,248","00:02:51,044"
823,There’s gravy?,Joey,surprise,134,2,58,5,4,13,"00:02:51,629","00:02:52,921"
829,"Of course, you did.",Doug,joy,135,1,61,1,3,24,"0:21:26,493","0:21:27,295"
830,Forgot something else too ya bastard!,Doug,joy,135,2,61,2,3,24,"0:21:27,295","0:21:28,713"
833,"Of course, you did.",Doug,joy,136,0,61,1,3,24,"0:21:26,493","0:21:27,295"
834,Forgot something else too ya bastard!,Doug,joy,136,1,61,2,3,24,"0:21:27,295","0:21:28,713"
837,"No. No, not at all, that’s-that’s ridiculous.",Chandler,sadness,136,4,61,5,3,24,"00:21:38,880","00:21:41,465"
838,"Everybody else got one, and you want one too. Don’t you?",Doug,joy,136,5,61,6,3,24,"00:21:41,675","00:21:44,885"
839,"Ye-ye-yeah, yes I do!",Chandler,sadness,136,6,61,7,3,24,"00:21:48,223","00:21:49,557"
840,"Now get on out of here, you!",Doug,joy,136,7,61,8,3,24,"00:21:49,850","00:21:51,976"
842,Hey! How’s my pal Toby doing today?,Bob,joy,137,1,62,1,8,5,"00:07:23,484","00:07:26,736"
844,Toby!,Bob,joy,137,3,62,3,8,5,"00:07:29,532","00:07:32,033"
845,Yeah!,Chandler,joy,137,4,62,5,8,5,"0:07:36,664","0:07:37,166"
846,Yeah!,Chandler,joy,138,0,62,5,8,5,"0:07:36,664","0:07:37,166"
850,"Bob? Ooh, working here with us? Everyday? Yeah, I don’t know if he has what it takes.",Chandler,surprise,138,4,62,9,8,5,"00:07:44,005","00:07:51,761"
851,Really? They love him down on six.,Mr. Franklin,surprise,138,5,62,10,8,5,"00:07:51,929","00:07:55,807"
853,Hey! Guess what I got for your wedding!,Ross,joy,139,0,63,0,7,20,"00:09:56,137","00:09:57,846"
855,"No. Rachel hooked me up with a tux! But not just any tux, Batman’s tux!",Ross,joy,139,2,63,2,7,20,"00:10:01,851","00:10:07,772"
856,What?,Chandler,surprise,139,3,63,3,7,20,"00:10:08,441","00:10:09,774"
857,That’s right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.,Ross,joy,139,4,63,4,7,20,"00:10:08,441","00:10:17,699"
858,You can’t wear that! I’m wearing the famous tux! James Bond’s tux!,Chandler,anger,139,5,63,5,7,20,"00:10:18,367","00:10:22,495"
860,So—If you wear that you’ll make mine less special.,Chandler,sadness,139,7,63,7,7,20,"00:10:22,663","00:10:26,416"
861,"Sorry, I just don’t like the idea of when I say ""I do,"" he’s thinking, ""Yeah, I’d do her too!""",Chandler,anger,140,0,64,0,7,16,"00:02:15,301","00:02:20,180"
866,What?! No! It was my idea!,Phoebe,anger,141,2,64,9,7,16,"00:02:50,628","00:02:52,629"
870,Oo! You should have one of us do it!,Phoebe,joy,142,2,64,5,7,16,"00:02:35,864","00:02:37,781"
872,No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,Phoebe,joy,142,4,64,7,7,16,"00:02:41,995","00:02:47,833"
873,No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,Phoebe,joy,143,0,64,7,7,16,"00:02:41,995","00:02:47,833"
874,I call it!!,Joey,joy,143,1,64,8,7,16,"00:02:48,084","00:02:49,085"
875,What?! No! It was my idea!,Phoebe,anger,143,2,64,9,7,16,"00:02:50,628","00:02:52,629"
877,Does calling it not mean anything anymore?!,Joey,anger,144,1,64,11,7,16,"00:02:56,301","00:02:58,468"
879,"See, I see.... big passion in your future.",Ross,joy,145,0,65,0,1,7,"00:08:11,240","00:08:15,702"
880,Really?,Rachel,surprise,145,1,65,1,1,7,"00:08:15,912","00:08:17,496"
882,"Oh Ross, you're so great. [she playfully rubs his head and gets up]",Rachel,joy,145,3,65,3,1,7,"00:08:19,790","00:08:34,554"
887,What?!?!,Monica,surprise,146,4,66,5,3,6,"00:14:41,964","00:14:42,964"
890,"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening.",Phoebe,sadness,146,7,66,8,3,6,"00:14:58,939","00:15:04,819"
891,"I love you, too.",Monica,joy,146,8,66,9,3,6,"00:15:06,947","00:15:09,324"
892,"Aww, good.  What?",Phoebe,joy,146,9,66,10,3,6,"00:15:06,947","00:15:13,703"
893,What? I’m just said.,Monica,sadness,146,10,66,11,3,6,"00:15:15,497","00:15:16,998"
895,Oh my God! Are you serious?!,Rachel,surprise,147,0,67,0,6,3,"0:08:11,115","0:08:12,492"
897,I would love to live with you Ross.. that’s-that’s great! Thank you!,Rachel,joy,147,2,67,2,6,3,"00:08:15,369","00:08:18,413"
899,"Ross-Ross, you have no idea what this means to me!",Rachel,joy,147,4,67,5,6,3,"00:08:30,259","00:08:32,594"
900,"I mean, I mean I was gonna be homeless.",Rachel,sadness,147,5,67,6,6,3,"0:08:32,762","0:08:34,389"
901,You just saved me!,Rachel,joy,147,6,67,7,6,3,"0:08:34,389","0:08:35,951"
902,You’re my hero!,Rachel,joy,147,7,67,8,6,3,"0:08:35,951","0:08:37,142"
904,"Oh, I have to go tell Monica what a wonderful brother she has!",Rachel,joy,147,9,67,10,6,3,"00:08:41,938","00:08:45,732"
905,"Oh please!   You’re gonna say things now, aren’t ya?",Ross,joy,147,10,67,11,6,3,"00:08:55,701","00:08:58,495"
906,"Oh please!   You’re gonna say things now, aren’t ya?",Ross,joy,148,0,67,11,6,3,"00:08:55,701","00:08:58,495"
910,"She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!",Phoebe,anger,148,4,67,15,6,3,"00:09:06,754","00:09:12,968"
911,"...Dammit, hire the girl!  Okay, everybody ready?",Director,anger,149,0,68,0,1,6,"00:13:34,730","00:13:39,317"
912,"Uh, listen, I just wanna thank you for this great opportunity.",Joey,joy,149,1,68,1,1,6,"00:13:40,069","00:13:43,738"
914,Me?,Joey,surprise,149,3,68,3,1,6,"00:13:47,117","00:13:48,159"
915,That's great.,Chandler,joy,150,0,69,0,1,5,"00:10:00,223","00:10:04,270"
918,That's it?,Chandler,surprise,150,3,69,3,1,5,"00:10:17,783","00:10:18,825"
919,That's great.,Chandler,joy,151,0,69,0,1,5,"00:10:00,223","00:10:04,270"
921,That's it?,Chandler,surprise,151,2,69,3,1,5,"00:10:17,783","00:10:18,825"
922,"Yeah, it was really hard.",Phoebe,sadness,151,3,69,4,1,5,"00:10:19,076","00:10:20,493"
924,"Ok, you weren't there.",Phoebe,anger,151,5,69,6,1,5,"00:10:23,539","00:10:24,831"
925,"Wow! That’s ah, that’s pretty nice!",Tony,joy,152,0,70,0,4,2,"00:10:11,611","00:10:14,404"
932,You gotta take the canoe!,Tony,anger,154,3,70,5,4,2,"00:10:35,885","00:10:37,260"
935,We’re not throwing it away! I built that canoe!,Peter,anger,155,1,70,7,4,2,"00:10:46,520","00:10:49,564"
936,We’re not throwing it away! I built that canoe!,Peter,anger,156,0,70,7,4,2,"00:10:46,520","00:10:49,564"
937,Good for you!!,Joey,anger,156,1,70,8,4,2,"00:10:50,816","00:10:52,400"
941,One ticket to Yemen?,Ticket Counter Attendant,surprise,158,1,72,1,4,15,"00:14:36,083","00:14:39,085"
943,"I’m sorry sir, I don’t understand.",Ticket Counter Attendant,surprise,158,3,72,3,4,15,"00:14:45,634","00:14:47,677"
949,"With a chick-chick here, and a chick-chick there.",Chandler,joy,159,1,73,1,3,21,"00:08:07,904","00:08:10,155"
950,"Here a chick, there a chick, everywhere a chick-chick--chickeeeen.",Chandler,joy,159,2,73,2,3,21,"00:08:10,323","00:08:13,074"
954,She?,Chandler,surprise,159,6,73,6,3,21,"0:08:19,376","0:08:20,335"
958,Excuse me?,Chandler,surprise,159,10,73,10,3,21,"00:08:43,606","00:08:44,898"
960,"Okay, good, so there you go. Go with Vince.",Joey,joy,160,0,74,0,3,23,"00:07:09,762","00:07:12,514"
963,"Oh sure, go with the sissy.",Joey,disgust,160,3,74,4,3,23,"00:07:18,187","00:07:20,981"
964,Jason is not a sissy!,Phoebe,anger,160,4,74,5,3,23,"00:07:22,275","00:07:24,317"
965,"Oh no-no-no-no, I meant Chandler.",Joey,anger,160,5,74,6,3,23,"00:07:24,485","00:07:26,695"
974,It was an amazing night.,Rachel,joy,162,5,76,5,8,4,"0:19:49,396","0:19:50,868"
975,It was. It was an amazing night.,Ross,joy,162,6,76,6,8,4,"0:19:50,868","0:19:53,621"
976,You think it looked amazing?,Rachel,sadness,162,7,76,7,8,4,"00:19:56,153","00:19:59,280"
981,Hello baby girl.,Rachel,joy,163,4,77,4,8,24,"0:10:07,053","0:10:08,096"
982,"Ah-ha, nowhere to run!",Ross,joy,164,0,78,0,6,17,"00:21:08,850","00:21:11,811"
983,I don’t like sitting up here! I’m just gonna over,Rachel,anger,164,1,78,1,6,17,"00:21:13,605","00:21:16,315"
984,DANGER,Ross,fear,164,2,78,4,6,17,"0:21:29,094","0:21:29,757"
985,Oh my God! Why is he jumping on those women!,Rachel,surprise,164,3,78,5,6,17,"00:21:29,871","00:21:34,709"
986,I don’t like sitting up here! I’m just gonna over,Rachel,anger,165,0,78,1,6,17,"00:21:13,605","00:21:16,315"
987,No Rachel! They got here first!,Phoebe,anger,165,1,78,2,6,17,"00:21:16,483","00:21:18,150"
989,No Rachel! They got here first!,Phoebe,anger,166,0,78,2,6,17,"00:21:16,483","00:21:18,150"
991,DANGER,Ross,fear,166,2,78,4,6,17,"0:21:29,094","0:21:29,757"
993,Oh but look! That’s gonna leave a stain!,Rachel,disgust,167,1,79,1,6,18,"00:16:28,570","00:16:31,072"
994,Rach! Hey! It’s fine! You’re at Joey’s!,Joey,joy,167,2,79,2,6,18,"00:16:31,240","00:16:35,284"
995,Really?,Rachel,surprise,167,3,79,3,6,18,"0:16:35,828","0:16:36,540"
997,I’ve never lived like this before.,Rachel,disgust,167,5,79,5,6,18,"0:16:43,752","0:16:45,554"
1001,"I don't know, but one of the extras sure did!  Hey, listen    Rach. Thanks again for coming down to watch my scenes!",Joey,joy,168,1,80,1,9,19,"00:03:56,153","00:04:02,493"
1002,"Oh, please!Honey, just the fact that you want me here to support    you, I'm...OH MY GOD!Is that Christian Sanders?He's so",Rachel,surprise,168,2,80,2,9,19,"00:04:02,701","00:04:11,210"
1009,Oh my God! I love him!,Monica,joy,169,3,81,3,1,7,"00:11:42,743","00:11:44,577"
1010,You'd better act surprised.,Joey,fear,169,4,81,4,1,7,"00:11:44,829","00:11:46,287"
1011,You'd better act surprised.,Joey,fear,170,0,81,4,1,7,"00:11:44,829","00:11:46,287"
1015,This is so typical. I'm always the last one to know everything.,Phoebe,anger,170,4,81,11,1,7,"00:11:59,009","00:12:02,303"
1016,Yuh-huh!,Phoebe,anger,170,5,81,13,1,7,"0:12:04,697","0:12:05,287"
1017,I was the last one to know when Chandler got bitten by the peacock at the zoo.,Phoebe,anger,170,6,81,14,1,7,"00:12:05,391","00:12:10,019"
1018,I was the last one to know when you had a crush on Joey when he was moving in.,Phoebe,anger,170,7,81,15,1,7,"00:12:10,771","00:12:13,815"
1019,Looks like I was second to last.,Phoebe,surprise,170,8,81,16,1,7,"00:12:16,068","00:12:18,820"
1021,My surprise party!,Monica,joy,171,1,81,6,1,7,"0:11:47,381","0:11:48,773"
1022,What surprise party?,Phoebe,surprise,171,2,81,7,1,7,"0:11:48,773","0:11:48,918"
1023,Oh stop it. Joey already told me.,Monica,joy,171,3,81,8,1,7,"00:11:49,041","00:11:53,086"
1025,This is so typical. I'm always the last one to know everything.,Phoebe,anger,171,5,81,11,1,7,"00:11:59,009","00:12:02,303"
1027,Yuh-huh!,Phoebe,anger,171,7,81,13,1,7,"0:12:04,697","0:12:05,287"
1028,I was the last one to know when Chandler got bitten by the peacock at the zoo.,Phoebe,anger,171,8,81,14,1,7,"00:12:05,391","00:12:10,019"
1029,I was the last one to know when you had a crush on Joey when he was moving in.,Phoebe,anger,171,9,81,15,1,7,"00:12:10,771","00:12:13,815"
1030,Looks like I was second to last.,Phoebe,surprise,171,10,81,16,1,7,"00:12:16,068","00:12:18,820"
1033,Chandler! He’s your father.  he should be at the wedding.,Monica,anger,172,2,82,2,7,22,"00:03:17,155","00:03:20,032"
1034,I don’t even know the man. Okay? We’re not that close. I haven’t seen him in years.,Chandler,disgust,172,3,82,3,7,22,"00:03:20,200","00:03:24,203"
1035,Well what are you gonna do when he finds out he wasn’t even asked?!,Monica,sadness,172,4,82,4,7,22,"00:03:24,370","00:03:26,914"
1037,"I hang out with you guys, and he stars in a drag show in Vegas.",Chandler,disgust,172,6,82,6,7,22,"00:03:29,542","00:03:35,547"
1038,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.,Chandler,disgust,172,7,82,9,7,22,"00:03:39,260","00:03:45,724"
1041,"I hang out with you guys, and he stars in a drag show in Vegas.",Chandler,disgust,173,1,82,6,7,22,"00:03:29,542","00:03:35,547"
1043,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.,Chandler,disgust,173,3,82,9,7,22,"00:03:39,260","00:03:45,724"
1048,Who in the hell are you?,Charlton Heston,anger,175,2,83,2,4,14,"00:15:52,576","00:15:54,577"
1050,"No-no, Rachel, don’t get it! He can’t see us!",Monica,fear,176,0,84,0,4,20,"00:20:58,674","00:21:01,050"
1051,"No, yeah! The groom cannot see the bride!",Phoebe,anger,176,1,84,1,4,20,"00:21:01,218","00:21:03,761"
1052,"No, yeah! The groom cannot see the bride!",Phoebe,anger,177,0,84,1,4,20,"00:21:01,218","00:21:03,761"
1053,I’m not gonna marry Chandler!,Rachel,anger,177,1,84,2,4,20,"00:21:03,929","00:21:05,888"
1054,Not after this!,Phoebe,anger,177,2,84,3,4,20,"00:21:06,056","00:21:08,224"
1058,"Oh, wait, Joshua! Joshua!   Yeah, well, that oughta do it.",Rachel,sadness,178,2,84,6,4,20,"00:21:22,823","00:21:33,165"
1066,I thought you didn't smoke.,Nancy,surprise,180,2,86,2,5,18,"00:09:08,798","00:09:10,840"
1069,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",Rachel,surprise,180,5,86,5,5,18,"00:09:21,060","00:09:24,229"
1075,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",Rachel,surprise,181,4,86,5,5,18,"00:09:21,060","00:09:24,229"
1080,"Oh, me too.",Rachel,joy,181,9,86,10,5,18,"00:09:36,993","00:09:38,702"
1081,"Oh, are you sure you're ok?",Rachel,sadness,182,0,87,0,1,5,"0:21:55,897","0:21:57,441"
1083,Does it still hurt?,Rachel,sadness,182,2,87,2,1,5,"0:21:58,483","0:22:00,075"
1084,Yeah.,Ross,sadness,182,3,87,3,1,5,"0:22:00,075","0:22:00,532"
1085,Yeah.,Ross,sadness,183,0,87,3,1,5,"0:22:00,075","0:22:00,532"
1086,What a neat idea. All your clothes match. I'm gonna do this.,Phoebe,joy,183,1,87,4,1,5,"00:22:03,113","00:22:06,949"
1087,What a neat idea. All your clothes match. I'm gonna do this.,Phoebe,joy,184,0,87,4,1,5,"00:22:03,113","00:22:06,949"
1091,Excellent.,Joey,joy,185,1,87,7,1,5,"00:22:11,204","00:22:12,246"
1092,Excellent.,Joey,joy,186,0,87,7,1,5,"00:22:11,204","00:22:12,246"
1093,"We ripped that couple apart, and kept the pieces for ourselves.",Monica,joy,186,1,87,8,1,5,"00:22:12,497","00:22:16,751"
1094,"We ripped that couple apart, and kept the pieces for ourselves.",Monica,joy,187,0,87,8,1,5,"00:22:12,497","00:22:16,751"
1095,"What a beautiful story. Hey, I'm fine by the way.",Ross,joy,187,1,87,9,1,5,"00:22:18,003","00:22:23,090"
1097,Good for you Pheebs!,Rachel,joy,188,1,88,1,9,21,"00:20:52,793","00:20:55,878"
1100,This sucks! I didn’t know I had to stay up all night before I went to this stupid sleep clinic! I’m so tired!,Joey,anger,189,0,89,0,4,20,"00:09:22,478","00:09:29,651"
1103,Hi!,Rachel,joy,190,1,89,2,4,20,"00:09:34,448","00:09:35,824"
1105,"What do you mean, handling it?",Rachel,joy,190,3,89,6,4,20,"0:09:46,085","0:09:47,097"
1106,There’s nothing to handle.,Rachel,joy,190,4,89,7,4,20,"0:09:47,097","0:09:48,219"
